# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Wed Sep 25 23:42:45 CEST 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: Gaia's DR2 G, G_BP and G_RP (Vegamags, Gaia passbands from Maiz-Apellaniz and Weiler 2018)
# TESS + 2MASS (Vegamags) + Kepler + SDSS <i>griz</i> + DDO51 (in ABmags)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
,Zini,MH,logAge,Mini,int_IMF,Mass,logL,logTe,logg,label,McoreTP,C_O,period0,period1,pmode,Mloss,tau1m,X,Y,Xc,Xn,Xo,Cexcess,Z,mbolmag,TESSmag,Jmag,Hmag,Ksmag,Keplermag,gmag,rmag,imag,zmag,DDO51_finfmag,Gmag,G_BPbrmag,G_BPftmag,G_RPmag
21,0.0152,0.015080000000000001,9.0,0.6409611702,2.3468565941,0.6409999999999999,-1.021,3.6127,4.669,0,0.0,0.545,0.0,0.0,-1,-6.9200000000000004e-15,0.0,0.7122,0.2727,0.002719,0.0007336,0.006654,-1.0,0.01516,7.3229999999999995,6.789,5.68,5.012,4.86,7.737,9.021,7.75,7.195,6.898,8.958,7.659,8.478,8.527000000000001,6.797999999999999
22,0.0152,0.015080000000000001,9.0,0.6499999761999999,2.3520355225,0.65,-0.993,3.6174,4.666,0,0.0,0.545,0.0,0.0,-1,-7.35e-15,0.0,0.7122,0.2726,0.002718,0.0007335,0.006653,-1.0,0.01516,7.252999999999999,6.71,5.62,4.954,4.808,7.642,8.9,7.642,7.112,6.83,8.849,7.566,8.366,8.414,6.7170000000000005
23,0.0152,0.015080000000000001,9.0,0.7000000476999999,2.3779268265,0.7,-0.8390000000000001,3.6454,4.656000000000001,0,0.0,0.545,0.0,0.0,-1,-1.02e-14,0.0,0.7125,0.2723,0.002716,0.0007327999999999999,0.006647,-1.0,0.01514,6.867000000000001,6.275,5.305,4.668,4.559,7.109,8.185,7.045,6.662000000000001,6.462999999999999,8.187999999999999,7.044,7.721,7.768,6.274
24,0.0152,0.015080000000000001,9.0,0.7033798098999999,2.3795249462,0.703,-0.828,3.6474,4.655,0,0.0,0.544,0.0,0.0,-1,-1.05e-14,0.0,0.7126,0.2723,0.0027129999999999997,0.0007326,0.006645999999999999,-1.0,0.015130000000000001,6.841,6.246,5.285,4.652,4.545,7.072,8.135,7.006,6.632000000000001,6.438,8.138,7.0089999999999995,7.676,7.724,6.244
25,0.0152,0.015080000000000001,9.0,0.75,2.3998889922999997,0.75,-0.6920000000000001,3.674,4.6530000000000005,1,0.0,0.5379999999999999,0.0,0.0,-1,-1.39e-14,0.0,0.7129,0.272,0.002677,0.0007312,0.006640999999999999,-1.0,0.01511,6.499,5.8660000000000005,5.022,4.468,4.38,6.609,7.484,6.521,6.244,6.107,7.4479999999999995,6.55,7.1160000000000005,7.1610000000000005,5.86
26,0.0152,0.015080000000000001,9.0,0.7531239390000001,2.4011502266,0.753,-0.6829999999999999,3.6753,4.651,1,0.0,0.5379999999999999,0.0,0.0,-1,-1.42e-14,0.0,0.7129,0.272,0.002677,0.0007311,0.006640999999999999,-1.0,0.01511,6.478,5.843999999999999,5.005,4.456,4.368,6.582999999999999,7.449,6.495,6.221,6.086,7.409,6.524,7.085,7.13,5.837999999999999
27,0.0152,0.015080000000000001,9.0,0.8000000119,2.4187245369,0.8,-0.56,3.6943,4.63,1,0.0,0.537,0.0,0.0,-1,-1.87e-14,0.0,0.7134,0.2715,0.002673,0.00073,0.006631999999999999,-1.0,0.015090000000000001,6.17,5.523,4.757,4.268,4.19,6.212000000000001,6.957999999999999,6.122999999999999,5.895,5.79,6.869,6.153,6.655,6.697,5.515
28,0.0152,0.015080000000000001,9.0,0.8025270104000001,2.4196050167,0.802,-0.5529999999999999,3.6952,4.629,1,0.0,0.537,0.0,0.0,-1,-1.9e-14,0.0,0.7134,0.2715,0.002673,0.00073,0.006631000000000001,-1.0,0.015090000000000001,6.153,5.507000000000001,4.744,4.258,4.181,6.193,6.933,6.104,5.877999999999999,5.775,6.841,6.1339999999999995,6.632999999999999,6.675,5.497999999999999
29,0.0152,0.015080000000000001,9.0,0.8500000238,2.4350347519,0.85,-0.434,3.7134,4.607,1,0.0,0.537,0.0,0.0,-1,-2.49e-14,0.0,0.714,0.271,0.002669,0.0007287999999999999,0.00662,-1.0,0.015,5.855,5.207000000000001,4.51,4.079,4.0089999999999995,5.849,6.49,5.763,5.5729999999999995,5.496,6.355,5.789,6.239,6.278,5.197
30,0.0152,0.015080000000000001,9.0,0.9000000358,2.4492788315,0.899,-0.315,3.7309,4.582,1,0.0,0.537,0.0,0.0,-1,-3.27e-14,0.0,0.7147,0.2703,0.002663,0.0007272,0.006606,-1.0,0.015019999999999999,5.557,4.914,4.277,3.8939999999999997,3.8310000000000004,5.518,6.077000000000001,5.436,5.275,5.221,5.912000000000001,5.457000000000001,5.865,5.901,4.9030000000000005
31,0.0152,0.015080000000000001,9.0,0.9086850881999999,2.4515697956,0.9079999999999999,-0.294,3.7337,4.577,1,0.0,0.537,0.0,0.0,-1,-3.44e-14,0.0,0.7148,0.2701,0.0026609999999999997,0.0007268,0.006603,-1.0,0.015019999999999999,5.506,4.865,4.238,3.861,3.8,5.462999999999999,6.01,5.381,5.225,5.175,5.843,5.401,5.803,5.837999999999999,4.854
32,0.0152,0.015080000000000001,9.0,0.9500000476999999,2.4618122578,0.95,-0.2,3.7467,4.553999999999999,1,0.0,0.537,0.0,0.0,-1,-4.29e-14,0.0,0.7156,0.2694,0.0026550000000000002,0.0007251,0.006587000000000001,-1.0,0.015009999999999999,5.271,4.643,4.058,3.714,3.66,5.212999999999999,5.7,5.135,5.001,4.967,5.524,5.149,5.519,5.551,4.631
33,0.0152,0.015080000000000001,9.0,1.0,2.4729156494,1.0,-0.09,3.7608,4.523,1,0.0,0.537,0.0,0.0,-1,-5.59e-14,0.0,0.7169,0.2682,0.002644,0.0007222999999999999,0.006562,-1.0,0.01492,4.995,4.388,3.846,3.534,3.487,4.928999999999999,5.354,4.856,4.744,4.726,5.178,4.862,5.199,5.228,4.376
